index,Year,State,GDP (Chained $)
2819,2012-01-01,Georgia,644340000.0
2820,2012-01-01,Georgia,322645000.0
2821,2012-01-01,Georgia,621013000.0
2822,2012-01-01,Georgia,780859000.0
2823,2012-01-01,Georgia,31274246000.0
2824,2012-01-01,Georgia,451068000.0
2825,2012-01-01,Georgia,314829000.0
2826,2012-01-01,Georgia,4143347000.0
2827,2012-01-01,Georgia,3042637000.0
2828,2012-01-01,Georgia,536083000.0
2829,2012-01-01,Georgia,46787000.0
2830,2012-01-01,Georgia,1599851000.0
2831,2012-01-01,Georgia,570080000.0
2832,2012-01-01,Georgia,566365000.0
2833,2012-01-01,Georgia,344357000.0
2834,2012-01-01,Georgia,489619000.0
2835,2012-01-01,Georgia,3564583000.0
2836,2012-01-01,Georgia,3695147000.0
2837,2012-01-01,Georgia,6816866000.0
2838,2012-01-01,Georgia,681746000.0
2839,2012-01-01,Georgia,119431000000.0
2840,2012-01-01,Georgia,707196000.0
2841,2012-01-01,Georgia,40325000.0
2842,2012-01-01,Georgia,3310337000.0
2843,2012-01-01,Georgia,1851411000.0
2844,2012-01-01,Georgia,583736000.0
2845,2012-01-01,Georgia,497549000.0
2846,2012-01-01,Georgia,36042188000.0
2847,2012-01-01,Georgia,1240461000.0
2848,2012-01-01,Georgia,7138502000.0
2849,2012-01-01,Georgia,151678000.0
2850,2012-01-01,Georgia,681155000.0
2851,2012-01-01,Georgia,402807000.0
2852,2012-01-01,Georgia,687046000.0
2853,2012-01-01,Georgia,1205827000.0
2854,2012-01-01,Georgia,4381758000.0
2855,2012-01-01,Georgia,5836870000.0
2856,2012-01-01,Georgia,210115000.0
2857,2012-01-01,Georgia,1920413000.0
2858,2012-01-01,Georgia,226490000.0
2859,2012-01-01,Georgia,378078000.0
2860,2012-01-01,Georgia,497034000.0
2861,2012-01-01,Georgia,143275000.0
2862,2012-01-01,Georgia,141735000.0
2863,2012-01-01,Georgia,358736000.0
2864,2012-01-01,Georgia,361591000.0
2865,2012-01-01,Georgia,131975000.0
2866,2012-01-01,Georgia,1471026000.0
2867,2012-01-01,Georgia,553688000.0
2868,2012-01-01,Georgia,3603288000.0
2869,2012-01-01,Georgia,133358000.0
2870,2012-01-01,Georgia,109741000.0
2871,2012-01-01,Georgia,4231227000.0
2872,2012-01-01,Georgia,590488000.0
2873,2012-01-01,Georgia,564270000.0
2874,2012-01-01,Georgia,182359000.0
2875,2012-01-01,Georgia,396079000.0
2876,2012-01-01,Georgia,387582000.0
2877,2012-01-01,Georgia,136101000.0
2878,2012-01-01,Georgia,473507000.0
2879,2012-01-01,Georgia,183162000.0
2880,2012-01-01,Georgia,746620000.0
2881,2012-01-01,Georgia,1883658000.0
2882,2012-01-01,Georgia,147725000.0
2883,2012-01-01,Georgia,557907000.0
2884,2012-01-01,Georgia,1155987000.0
2885,2012-01-01,Georgia,9469614000.0
2886,2012-01-01,Georgia,2054787000.0
2887,2012-01-01,Georgia,904680000.0
2888,2012-01-01,Georgia,271317000.0
2889,2012-01-01,Georgia,1860966000.0
2890,2012-01-01,Georgia,709074000.0
2891,2012-01-01,Georgia,722546000.0
2892,2012-01-01,Georgia,338552000.0
2893,2012-01-01,Georgia,256425000.0
2894,2012-01-01,Georgia,1017332000.0
2895,2012-01-01,Georgia,255264000.0
2896,2012-01-01,Georgia,577556000.0
2897,2012-01-01,Georgia,44011000.0
2898,2012-01-01,Georgia,431084000.0
2899,2012-01-01,Georgia,194043000.0
2900,2012-01-01,Georgia,10664909000.0
2901,2012-01-01,Georgia,3062714000.0
2902,2012-01-01,Georgia,121959000.0
2903,2012-01-01,Georgia,336805000.0
2904,2012-01-01,Georgia,314820000.0
2905,2012-01-01,Georgia,1924875000.0
2906,2012-01-01,Georgia,771370000.0
2907,2012-01-01,Georgia,105433000.0
2908,2012-01-01,Georgia,1037268000.0
2909,2012-01-01,Georgia,118577000.0
2910,2012-01-01,Georgia,32467000.0
2911,2012-01-01,Georgia,540975000.0
2912,2012-01-01,Georgia,153721000.0
2913,2012-01-01,Georgia,293896000.0
2914,2012-01-01,Georgia,267717000.0
2915,2012-01-01,Georgia,1915836000.0
2916,2012-01-01,Georgia,1537684000.0
2917,2012-01-01,Georgia,909805000.0
2918,2012-01-01,Georgia,277105000.0
2919,2012-01-01,Georgia,109615000.0
2920,2012-01-01,Georgia,3271911000.0
2921,2012-01-01,Georgia,213569000.0
2922,2012-01-01,Georgia,158372000.0
2923,2012-01-01,Georgia,561502000.0
2924,2012-01-01,Georgia,656192000.0
2925,2012-01-01,Georgia,1327326000.0
2926,2012-01-01,Georgia,1784739000.0
2927,2012-01-01,Georgia,1207038000.0
2928,2012-01-01,Georgia,142625000.0
2929,2012-01-01,Georgia,594118000.0
2930,2012-01-01,Georgia,850512000.0
2931,2012-01-01,Georgia,64788000.0
2932,2012-01-01,Georgia,130618000.0
2933,2012-01-01,Georgia,597773000.0
2934,2012-01-01,Georgia,4844787000.0
2935,2012-01-01,Georgia,170109000.0
2936,2012-01-01,Georgia,286038000.0
2937,2012-01-01,Georgia,447833000.0
2938,2012-01-01,Georgia,376283000.0
2942,2012-01-01,Idaho,19041517000.0
