Ship Full Date Description;Ship Date Key;Ship Year;Ship Season;Ship Semester;Ship Month Number Year;Ship Week Number Year;Ship Day Number Month;Ship Day Number Week;Ship Day Name Week;Holiday Key;Holiday Indicator;Weekend Indicator
41146;234;2012;Summer;2;8;34;25;6;sábado;No Key;Non-Holiday;Weekend
41147;235;2012;Summer;2;8;35;26;7;domingo;No Key;Non-Holiday;Weekend
41148;236;2012;Summer;2;8;35;27;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41149;237;2012;Summer;2;8;35;28;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41150;238;2012;Summer;2;8;35;29;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41151;239;2012;Summer;2;8;35;30;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41152;240;2012;Summer;2;8;35;31;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41153;241;2012;Summer;2;9;35;1;6;sábado;8;Holiday;Weekend
41154;242;2012;Summer;2;9;36;2;7;domingo;9;Holiday;Weekend
41155;243;2012;Summer;2;9;36;3;1;segunda-feira;7;Holiday;Non-Weekend
41156;244;2012;Summer;2;9;36;4;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41157;245;2012;Summer;2;9;36;5;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41158;246;2012;Summer;2;9;36;6;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41159;247;2012;Summer;2;9;36;7;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41160;248;2012;Summer;2;9;36;8;6;sábado;No Key;Non-Holiday;Weekend
41161;249;2012;Summer;2;9;37;9;7;domingo;No Key;Non-Holiday;Weekend
41162;250;2012;Summer;2;9;37;10;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41163;251;2012;Summer;2;9;37;11;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41164;252;2012;Summer;2;9;37;12;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41165;253;2012;Summer;2;9;37;13;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41166;254;2012;Summer;2;9;37;14;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41167;255;2012;Summer;2;9;37;15;6;sábado;No Key;Non-Holiday;Weekend
41168;256;2012;Summer;2;9;38;16;7;domingo;No Key;Non-Holiday;Weekend
41169;257;2012;Summer;2;9;38;17;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41170;258;2012;Summer;2;9;38;18;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41171;259;2012;Summer;2;9;38;19;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41172;260;2012;Autumn;2;9;38;20;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41173;261;2012;Autumn;2;9;38;21;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41174;262;2012;Autumn;2;9;38;22;6;sábado;No Key;Non-Holiday;Weekend
41175;263;2012;Autumn;2;9;39;23;7;domingo;No Key;Non-Holiday;Weekend
41176;264;2012;Autumn;2;9;39;24;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41177;265;2012;Autumn;2;9;39;25;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41178;266;2012;Autumn;2;9;39;26;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41179;267;2012;Autumn;2;9;39;27;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41180;268;2012;Autumn;2;9;39;28;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41181;269;2012;Autumn;2;9;39;29;6;sábado;No Key;Non-Holiday;Weekend
41182;270;2012;Autumn;2;9;40;30;7;domingo;No Key;Non-Holiday;Weekend
41183;271;2012;Autumn;2;10;40;1;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41184;272;2012;Autumn;2;10;40;2;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41185;273;2012;Autumn;2;10;40;3;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41186;274;2012;Autumn;2;10;40;4;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41187;275;2012;Autumn;2;10;40;5;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41188;276;2012;Autumn;2;10;40;6;6;sábado;No Key;Non-Holiday;Weekend
41189;277;2012;Autumn;2;10;41;7;7;domingo;No Key;Non-Holiday;Weekend
41190;278;2012;Autumn;2;10;41;8;1;segunda-feira;4;Holiday;Non-Weekend
41191;279;2012;Autumn;2;10;41;9;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41192;280;2012;Autumn;2;10;41;10;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41193;281;2012;Autumn;2;10;41;11;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41194;282;2012;Autumn;2;10;41;12;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41195;283;2012;Autumn;2;10;41;13;6;sábado;No Key;Non-Holiday;Weekend
41196;284;2012;Autumn;2;10;42;14;7;domingo;No Key;Non-Holiday;Weekend
41197;285;2012;Autumn;2;10;42;15;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41198;286;2012;Autumn;2;10;42;16;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41199;287;2012;Autumn;2;10;42;17;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41200;288;2012;Autumn;2;10;42;18;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
