Order Full Date Description;Order Date Key;Order Year;Order Season;Order Semester;Order Month Number Year;Order Week Number Year;Order Day Number Month;Order Day Number Week;Order Day Name Week;HolidayKey;HolidayIndicator;WeekendIndicator
41578;648;2013;Autumn;2;10;44;31;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41579;649;2013;Autumn;2;11;44;1;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41580;650;2013;Autumn;2;11;44;2;6;sábado;No Key;Non-Holiday;Weekend
41581;651;2013;Autumn;2;11;45;3;7;domingo;No Key;Non-Holiday;Weekend
41582;652;2013;Autumn;2;11;45;4;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41583;653;2013;Autumn;2;11;45;5;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41584;654;2013;Autumn;2;11;45;6;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41585;655;2013;Autumn;2;11;45;7;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41586;656;2013;Autumn;2;11;45;8;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41587;657;2013;Autumn;2;11;45;9;6;sábado;No Key;Non-Holiday;Weekend
41588;658;2013;Autumn;2;11;46;10;7;domingo;No Key;Non-Holiday;Weekend
41589;659;2013;Autumn;2;11;46;11;1;segunda-feira;36;Holiday;Non-Weekend
41590;660;2013;Autumn;2;11;46;12;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41591;661;2013;Autumn;2;11;46;13;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41592;662;2013;Autumn;2;11;46;14;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41593;663;2013;Autumn;2;11;46;15;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41594;664;2013;Autumn;2;11;46;16;6;sábado;No Key;Non-Holiday;Weekend
41595;665;2013;Autumn;2;11;47;17;7;domingo;No Key;Non-Holiday;Weekend
41596;666;2013;Autumn;2;11;47;18;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41597;667;2013;Autumn;2;11;47;19;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41598;668;2013;Autumn;2;11;47;20;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41599;669;2013;Autumn;2;11;47;21;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
